lens_name,z_l,z_s,theta_E_arcsec,theta_eff_arcsec,slit_width_arcsec,slit_length_arcsec,fiber_radius_arcsec,theta_ap_arcsec,sigma_ap_km_s,sigma_ap_err_km_s,survey_name,delta
SDSSJ0008-0004,0.44,1.192,1.16,1.71,,,1.5,1.5,193,36,SLACS,2.138
SDSSJ0029-0055,0.227,0.931,0.96,2.16,,,1.5,1.5,229,18,SLACS,2.2184
SDSSJ0037-0942,0.195,0.632,1.53,2.19,,,1.5,1.5,279,10,SLACS,2.0915
SDSSJ0044+0113,0.12,0.197,0.79,2.61,,,1.5,1.5,266,13,SLACS,2.126
SDSSJ0109+1500,0.294,0.525,0.69,1.38,,,1.5,1.5,251,19,SLACS,2.2329
SDSSJ0157-0056,0.513,0.924,0.79,1.06,,,1.5,1.5,295,47,SLACS,2.2678
SDSSJ0216-0813,0.332,0.523,1.16,2.67,,,1.5,1.5,333,23,SLACS,2.1124
SDSSJ0252+0039,0.28,0.982,1.04,1.39,,,1.5,1.5,164,12,SLACS,2.1353
SDSSJ0330-0020,0.351,1.071,1.1,1.2,,,1.5,1.5,212,21,SLACS,2.2781
SDSSJ0405-0455,0.075,0.81,0.8,1.36,,,1.5,1.5,160,7,SLACS,2.2433
SDSSJ0728+3835,0.206,0.688,1.25,1.78,,,1.5,1.5,214,11,SLACS,2.2484
SDSSJ0737+3216,0.322,0.581,1.0,2.82,,,1.5,1.5,338,16,SLACS,2.1556
SDSSJ0822+2652,0.241,0.594,1.17,1.82,,,1.5,1.5,259,15,SLACS,2.1905
SDSSJ0903+4116,0.43,1.065,1.29,1.78,,,1.5,1.5,223,27,SLACS,2.234
SDSSJ0912+0029,0.164,0.324,1.63,3.87,,,1.5,1.5,326,12,SLACS,1.9903
SDSSJ0935-0003,0.347,0.467,0.87,4.24,,,1.5,1.5,396,35,SLACS,2.18
SDSSJ0936+0913,0.19,0.588,1.09,2.11,,,1.5,1.5,243,11,SLACS,2.1967
SDSSJ0946+1006,0.222,0.609,1.38,2.35,,,1.5,1.5,263,21,SLACS,2.09
SDSSJ0956+5100,0.241,0.47,1.33,2.19,,,1.5,1.5,334,15,SLACS,2.2184
SDSSJ0959+4416,0.237,0.531,0.96,1.98,,,1.5,1.5,244,19,SLACS,2.1537
SDSSJ0959+0410,0.126,0.535,0.99,1.39,,,1.5,1.5,197,13,SLACS,2.2112
SDSSJ1016+3859,0.168,0.439,1.09,1.46,,,1.5,1.5,247,13,SLACS,2.2577
SDSSJ1020+1122,0.282,0.553,1.2,1.59,,,1.5,1.5,282,18,SLACS,2.2174
SDSSJ1023+4230,0.191,0.696,1.41,1.77,,,1.5,1.5,242,15,SLACS,2.2283
SDSSJ1029+0420,0.104,0.615,1.01,1.56,,,1.5,1.5,210,9,SLACS,2.1467
SDSSJ1100+5329,0.317,0.858,1.52,2.24,,,1.5,1.5,187,23,SLACS,2.1529
SDSSJ1106+5228,0.095,0.407,1.23,1.68,,,1.5,1.5,262,9,SLACS,2.299
SDSSJ1112+0826,0.273,0.629,1.49,1.5,,,1.5,1.5,320,20,SLACS,2.0884
SDSSJ1134+6027,0.153,0.474,1.1,2.02,,,1.5,1.5,239,11,SLACS,2.2211
SDSSJ1142+1001,0.222,0.504,0.98,1.91,,,1.5,1.5,221,22,SLACS,2.2157
SDSSJ1143-0144,0.106,0.402,1.68,4.8,,,1.5,1.5,269,5,SLACS,2.2184
SDSSJ1153+4612,0.18,0.875,1.05,1.16,,,1.5,1.5,226,15,SLACS,2.2951
SDSSJ1204+0358,0.164,0.631,1.31,1.47,,,1.5,1.5,267,17,SLACS,2.2018
SDSSJ1205+4910,0.215,0.481,1.22,2.59,,,1.5,1.5,281,13,SLACS,2.197
SDSSJ1213+6708,0.123,0.64,1.42,3.23,,,1.5,1.5,292,11,SLACS,2.3083
SDSSJ1218+0830,0.135,0.717,1.45,3.18,,,1.5,1.5,219,10,SLACS,2.1034
SDSSJ1250+0523,0.232,0.795,1.13,1.81,,,1.5,1.5,252,14,SLACS,2.2211
SDSSJ1402+6321,0.205,0.481,1.35,2.7,,,1.5,1.5,267,17,SLACS,2.1424
SDSSJ1403+0006,0.189,0.473,0.83,1.46,,,1.5,1.5,213,17,SLACS,2.1295
SDSSJ1416+5136,0.299,0.811,1.37,1.43,,,1.5,1.5,240,25,SLACS,2.1131
SDSSJ1420+6019,0.063,0.535,1.04,2.06,,,1.5,1.5,205,4,SLACS,2.0663
SDSSJ1430+4105,0.285,0.575,1.52,2.55,,,1.5,1.5,322,32,SLACS,2.1825
SDSSJ1436-0000,0.285,0.805,1.12,2.24,,,1.5,1.5,224,17,SLACS,2.1454
SDSSJ1443+0304,0.134,0.419,0.81,0.94,,,1.5,1.5,209,11,SLACS,2.3924
SDSSJ1451-0239,0.125,0.52,1.04,2.48,,,1.5,1.5,223,14,SLACS,2.1616
SDSSJ1525+3327,0.358,0.717,1.31,2.9,,,1.5,1.5,264,26,SLACS,2.1095
SDSSJ1531-0105,0.16,0.744,1.71,2.5,,,1.5,1.5,279,12,SLACS,2.1617
