lens_name,z_l,z_s,theta_E_arcsec,theta_eff_arcsec,slit_width_arcsec,slit_length_arcsec,fiber_radius_arcsec,theta_ap_arcsec,sigma_ap_km_s,sigma_ap_err_km_s,survey_name
MG2016+112,1.004,3.263,1.56,0.31,1,1.25,,0.65,304,27,LSD
0047-281,0.485,3.595,1.34,0.82,0.4,1.25,,0.41,219,12,LSD
CFRS03.1077,0.938,2.941,1.24,1.60,0.5,1.25,,0.46,256,19,LSD
HST14176+5226,0.810,3.399,1.41,1.06,0.32,1.25,,0.37,212,18,LSD
HSTT15433+5352,0.497,2.092,0.36,0.41,0.3,1.25,,0.35,108,14,LSD
SL2SJ020524-93023,0.557,1.330,0.76,0.75,0.9,1.60,,0.69,276,37,SL2S
SL2SJ021247-055552,0.750,2.740,1.27,1.22,0.9,1.60,,0.69,273,22,SL2S
SL2SJ021325-074355,0.717,3.480,2.39,1.97,1.0,1.68,,0.75,293,34,SL2S
SL2SJ021411-040502,0.609,1.880,1.41,1.21,1.0,1.88,,0.79,287,47,SL2S
SL2SJ021737-051329,0.646,1.850,1.27,0.73,1.5,1.68,,0.92,239,27,SL2S
SL2SJ021801-080247,0.884,2.060,1.00,1.02,0.9,1.60,,0.69,246,48,SL2S
SL2SJ021902-082934,0.389,2.150,1.30,0.95,1.0,1.68,,0.75,289,23,SL2S
SL2SJ022046-094927,0.572,2.610,1.00,0.53,1.0,1.90,,0.80,254,29,SL2S
SL2SJ022511-045433,0.238,1.200,1.76,2.12,1.0,0.81,,0.52,234,21,SL2S
SL2SJ022610-042011,0.494,1.230,1.19,0.84,1.0,1.62,,0.74,263,24,SL2S
SL2SJ023251-040823,0.352,2.340,1.04,1.14,1.0,1.68,,0.75,281,26,SL2S
SL2SJ084847-035103,0.682,1.550,0.85,0.45,0.9,1.60,,0.69,197,21,SL2S
SL2SJ084909-041226,0.722,1.540,1.10,0.46,0.9,1.60,,0.69,320,24,SL2S
SL2SJ084959-025142,0.274,2.090,1.16,1.34,0.9,1.60,,0.69,276,35,SL2S
SL2SJ085540-014730,0.365,3.390,1.03,0.69,0.7,1.62,,0.62,222,25,SL2S
SL2SJ090407-005952,0.611,2.360,1.40,2.00,0.9,1.60,,0.69,183,21,SL2S
SL2SJ095921+020638,0.552,3.350,0.74,0.46,0.9,1.60,,0.69,188,22,SL2S
SL2SJ135949+553550,0.783,2.770,1.14,1.13,1.0,1.62,,0.74,228,29,SL2S
SL2SJ140454+520024,0.456,1.590,2.55,2.03,1.0,1.62,,0.74,342,20,SL2S
SL2SJ140546+524311,0.526,3.010,1.51,0.83,1.0,1.62,,0.74,284,21,SL2S
SL2SJ140650+522619,0.716,1.470,0.94,0.80,1.0,1.62,,0.74,253,19,SL2S
SL2SJ141137+565119,0.322,1.420,0.93,0.85,1.0,1.62,,0.74,214,23,SL2S
SL2SJ142059+563007,0.483,3.120,1.40,1.62,1.0,1.62,,0.74,228,19,SL2S
SL2SJ220329+020518,0.400,2.150,1.95,0.99,1.0,1.62,,0.74,213,21,SL2S
SL2SJ220506+014703,0.476,2.530,1.66,0.66,0.9,1.60,,0.69,317,30,SL2S
SL2SJ222148+011542,0.325,2.350,1.40,1.12,1.0,1.88,,0.79,222,23,SL2S
SDSSJ0008-0004,0.440,1.192,1.16,1.71,,,1.5,1.5,193,36,SLACS
SDSSJ0029-0055,0.227,0.931,0.96,2.16,,,1.5,1.5,229,18,SLACS
SDSSJ0037-0942,0.195,0.632,1.53,2.19,,,1.5,1.5,279,10,SLACS
SDSSJ0044+0113,0.120,0.197,0.79,2.61,,,1.5,1.5,266,13,SLACS
SDSSJ0109+1500,0.294,0.525,0.69,1.38,,,1.5,1.5,251,19,SLACS
SDSSJ0157-0056,0.513,0.924,0.79,1.06,,,1.5,1.5,295,47,SLACS
SDSSJ0216-0813,0.332,0.523,1.16,2.67,,,1.5,1.5,333,23,SLACS
SDSSJ0252+0039,0.280,0.982,1.04,1.39,,,1.5,1.5,164,12,SLACS
SDSSJ0330-0020,0.351,1.071,1.10,1.20,,,1.5,1.5,212,21,SLACS
SDSSJ0405-0455,0.075,0.810,0.80,1.36,,,1.5,1.5,160,7,SLACS
SDSSJ0728+3835,0.206,0.688,1.25,1.78,,,1.5,1.5,214,11,SLACS
SDSSJ0737+3216,0.322,0.581,1.00,2.82,,,1.5,1.5,338,16,SLACS
SDSSJ0822+2652,0.241,0.594,1.17,1.82,,,1.5,1.5,259,15,SLACS
SDSSJ0903+4116,0.430,1.065,1.29,1.78,,,1.5,1.5,223,27,SLACS
SDSSJ0912+0029,0.164,0.324,1.63,3.87,,,1.5,1.5,326,12,SLACS
SDSSJ0935-0003,0.347,0.467,0.87,4.24,,,1.5,1.5,396,35,SLACS
SDSSJ0936+0913,0.190,0.588,1.09,2.11,,,1.5,1.5,243,11,SLACS
SDSSJ0946+1006,0.222,0.609,1.38,2.35,,,1.5,1.5,263,21,SLACS
SDSSJ0956+5100,0.241,0.470,1.33,2.19,,,1.5,1.5,334,15,SLACS
SDSSJ0959+4416,0.237,0.531,0.96,1.98,,,1.5,1.5,244,19,SLACS
SDSSJ0959+0410,0.126,0.535,0.99,1.39,,,1.5,1.5,197,13,SLACS
SDSSJ1016+3859,0.168,0.439,1.09,1.46,,,1.5,1.5,247,13,SLACS
SDSSJ1020+1122,0.282,0.553,1.20,1.59,,,1.5,1.5,282,18,SLACS
SDSSJ1023+4230,0.191,0.696,1.41,1.77,,,1.5,1.5,242,15,SLACS
SDSSJ1029+0420,0.104,0.615,1.01,1.56,,,1.5,1.5,210,9,SLACS
SDSSJ1100+5329,0.317,0.858,1.52,2.24,,,1.5,1.5,187,23,SLACS
SDSSJ1106+5228,0.095,0.407,1.23,1.68,,,1.5,1.5,262,9,SLACS
SDSSJ1112+0826,0.273,0.629,1.49,1.50,,,1.5,1.5,320,20,SLACS
SDSSJ1134+6027,0.153,0.474,1.10,2.02,,,1.5,1.5,239,11,SLACS
SDSSJ1142+1001,0.222,0.504,0.98,1.91,,,1.5,1.5,221,22,SLACS
SDSSJ1143-0144,0.106,0.402,1.68,4.80,,,1.5,1.5,269,5,SLACS
SDSSJ1153+4612,0.180,0.875,1.05,1.16,,,1.5,1.5,226,15,SLACS
SDSSJ1204+0358,0.164,0.631,1.31,1.47,,,1.5,1.5,267,17,SLACS
SDSSJ1205+4910,0.215,0.481,1.22,2.59,,,1.5,1.5,281,13,SLACS
SDSSJ1213+6708,0.123,0.640,1.42,3.23,,,1.5,1.5,292,11,SLACS
SDSSJ1218+0830,0.135,0.717,1.45,3.18,,,1.5,1.5,219,10,SLACS
SDSSJ1250+0523,0.232,0.795,1.13,1.81,,,1.5,1.5,252,14,SLACS
SDSSJ1402+6321,0.205,0.481,1.35,2.70,,,1.5,1.5,267,17,SLACS
SDSSJ1403+0006,0.189,0.473,0.83,1.46,,,1.5,1.5,213,17,SLACS
SDSSJ1416+5136,0.299,0.811,1.37,1.43,,,1.5,1.5,240,25,SLACS
SDSSJ1420+6019,0.063,0.535,1.04,2.06,,,1.5,1.5,205,4,SLACS
SDSSJ1430+4105,0.285,0.575,1.52,2.55,,,1.5,1.5,322,32,SLACS
SDSSJ1436-0000,0.285,0.805,1.12,2.24,,,1.5,1.5,224,17,SLACS
SDSSJ1443+0304,0.134,0.419,0.81,0.94,,,1.5,1.5,209,11,SLACS
