Name,delta
SDSSJ0008-0004,2.204194324
SDSSJ0029-0055,2.290072141
SDSSJ0037-0942,2.193147585
SDSSJ0044+0113,2.175879013
SDSSJ0109+1500,2.333575044
SDSSJ0157-0056,2.357686204
SDSSJ0216-0813,2.152662567
SDSSJ0252+0039,2.256466489
SDSSJ0330-0020,2.354136539
SDSSJ0405-0455,2.385173674
SDSSJ0728+3835,2.291143455
SDSSJ0737+3216,2.1953068
SDSSJ0822+2652,2.256670267
SDSSJ0903+4116,2.276048822
SDSSJ0912+0029,1.965827048
SDSSJ0935-0003,2.166006827
SDSSJ0936+0913,2.259399257
SDSSJ0946+1006,2.126035054
SDSSJ0956+5100,2.248706207
SDSSJ0959+4416,2.253918951
SDSSJ0959+0410,2.224699024
SDSSJ1016+3859,2.357992154
SDSSJ1020+1122,2.321634812
SDSSJ1023+4230,2.273464384
SDSSJ1029+0420,2.261054663
SDSSJ1100+5329,2.201084194
SDSSJ1106+5228,2.372290247
SDSSJ1112+0826,2.26799907
SDSSJ1134+6027,2.287289256
SDSSJ1142+1001,2.291420173
SDSSJ1143-0144,2.159926263
SDSSJ1153+4612,2.411952656
SDSSJ1204+0358,2.301736901
SDSSJ1205+4910,2.231037146
SDSSJ1213+6708,2.311574594
SDSSJ1218+0830,2.116954878
SDSSJ1250+0523,2.254505003
SDSSJ1402+6321,2.168294628
SDSSJ1403+0006,2.26549443
SDSSJ1416+5136,2.28921049
SDSSJ1420+6019,2.202323278
SDSSJ1430+4105,2.189605356
SDSSJ1436-0000,2.210497393
SDSSJ1443+0304,2.463554672
SDSSJ1451-0239,2.205945409
SDSSJ1525+3327,2.123559589
SDSSJ1531-0105,2.207395129
SDSSJ1538+5817,2.324867094
SDSSJ1621+3931,2.237956159
SDSSJ1627-0053,2.237029963
SDSSJ1630+4520,2.19726361
SDSSJ1636+4707,2.283398701
SDSSJ2238-0754,2.187554011
SDSSJ2300+0022,2.19865217
SDSSJ2303+1422,2.077774781
SDSSJ2321-0939,2.02510679
SDSSJ2341+0000,2.131785734
SDSSJ0143-1006,2.042133486
SDSSJ0159-0006,2.361034063
SDSSJ0324+0045,2.195479902
SDSSJ0324-0110,2.119554024
SDSSJ0753+3416,2.238206385
SDSSJ0754+1927,2.356468181
SDSSJ0757+1956,2.035486535
SDSSJ0826+5630,2.350525464
SDSSJ0847+2348,2.30434753
SDSSJ0851+0505,2.337594383
SDSSJ0920+3028,2.002086357
SDSSJ0955+3014,2.098369681
SDSSJ0956+5539,2.264423138
SDSSJ1010+3124,2.10966429
SDSSJ1041+0112,2.171746502
SDSSJ1048+1313,2.273444426
SDSSJ1051+4439,2.322298125
SDSSJ1056+4141,2.188629067
SDSSJ1101+1523,2.441655647
SDSSJ1116+0729,2.205891358
SDSSJ1127+2312,2.22012417
SDSSJ1137+1818,2.283415141
SDSSJ1142+2509,2.317840021
SDSSJ1144+0436,2.366151513
SDSSJ1213+2930,2.241769816
SDSSJ1301+0834,2.363921043
SDSSJ1330+1750,2.108217783
SDSSJ1403+3309,2.284901814
SDSSJ1430+6104,2.221978771
SDSSJ1433+2835,2.16206199
SDSSJ1541+3642,2.31160889
SDSSJ1543+2202,2.162239416
SDSSJ1550+2020,2.320152078
SDSSJ1553+3004,2.270098375
SDSSJ1607+2147,2.423934539
SDSSJ1633+1441,2.248507206
SDSSJ2309-0039,2.200940305
SDSSJ2324+0105,2.395923678
SDSSJ0801+4727,2.477716129
SDSSJ1234-0241,2.273971876
SDSSJ1352+3216,2.446433764
SDSSJ1159-0007,2.382664211
SDSSJ1318-0104,2.385513322
SDSSJ1349+3612,2.246208414
SDSSJ1221+3806,2.433883783
SDSSJ0944-0147,2.47074108
SDSSJ1601+2138,2.558931995
SDSSJ1542+1629,2.448481188
SDSSJ0151+0049,2.39220472
SDSSJ1337+3620,2.196134036
SDSSJ2125+0411,2.357484509
SDSSJ1545+2748,2.098357081
SDSSJ1215+0047,2.439299467
SDSSJ0830+5116,2.322208819
SDSSJ1631+1854,2.227197848
SDSSJ2303+0037,2.256238118
SDSSJ0747+4448,2.285640629
SDSSJ2122+0409,2.33365261
SDSSJ0747+5055,2.327243862
SDSSJ0029+2544,2.320345057
SDSSJ0201+3228,2.095785328
SDSSJ0237-0641,2.302580822
SDSSJ0742+3341,2.320422631
SDSSJ0755+3445,2.18940078
SDSSJ0856+2010,2.339605539
SDSSJ0918+5104,2.287407945
SDSSJ1110+2808,2.376102023
SDSSJ1116+0915,2.399143917
SDSSJ1141+2216,2.323105952
SDSSJ1201+4743,2.220737717
SDSSJ1226+5457,2.311692805
SDSSJ2228+1205,2.360535727
SDSSJ2342-0120,2.199657048
